Country,2013_energy_consumption,2013_median_masked,2014_energy_consumption,2014_median_masked,2015_energy_consumption,2015_median_masked,2016_energy_consumption,2016_median_masked,2017_energy_consumption,2017_median_masked,2018_energy_consumption,2018_median_masked,2019_energy_consumption,2019_median_masked,2020_energy_consumption,2020_median_masked,2021_energy_consumption,2021_median_masked
Hungary,238.04141,365842.8119,238.26877,370276.287,251.03966,348265.0251,255.4948,361135.7407,269.29346,402325.3006,271.20258,406624.3778,274.8925,421003.2194,270.3273,419055.9311,283.95834,474560.5158
Iceland,58.71669,134605.2905,58.62973,104005.1254,61.207317,134037.5924,61.441673,126662.3867,64.24559,133684.7519,66.45856,107659.3903,63.328125,140081.007,58.08151,121746.8878,60.644577,119713.3727
India,7178.7197,7017538.145,7664.0034,7257727.462,7929.679,7680435.699,8284.972,7804456.154,8600.742,9281889.612,9088.107,9688536.46,9317.351,10082617.71,8828.374,10232760.38,9585.078,10772123.91
Indonesia,1809.8263,1058029.151,1839.6007,1108385.628,1866.1007,1251165.067,1896.8113,1267042.52,1967.7083,1446217.387,2151.6267,1635696.2,2299.6296,1711612.671,2163.7532,1731800.305,2214.0532,1930135.259
Iran (Islamic Republic of),2652.0325,4500627.041,2768.922,4895049.401,2735.8362,5087138.1,2884.797,6040462.527,2995.331,7034935.713,3095.9187,6780013.927,3263.9712,6063891.481,3387.9543,5987708.836,3322.0579,6761322.764
Iraq,470.12567,3830859.509,455.2057,4167864.691,447.09543,4906576.769,485.35147,5318010.605,567.4052,5593903.059,590.49176,5474173.679,639.68274,5575217.38,571.86237,5422664.848,592.7278,5763873.47
Ireland,164.99734,254367.4948,164.55302,286058.2034,173.913,288007.1734,181.63763,281292.5254,182.40254,285447.2727,186.47433,295588.2347,187.35852,282331.801,176.07672,286207.6959,179.446,280636.8652
Israel,267.18036,600000.0739,260.6474,634573.7021,275.05713,623056.9591,280.5702,648141.3765,285.68524,675761.3658,292.21167,695568.8618,301.50592,712967.3347,285.13525,709738.229,292.04428,768232.7471
Italy,1858.6002,4534687.623,1762.3201,4562068.042,1814.7657,4523184.34,1821.9315,4528345.509,1843.1206,4893660.827,1853.6401,4755221.139,1819.5557,4865318.25,1651.9623,4834741.317,1768.6172,4978783.031
Jamaica,35.42048,52846.78722,34.90134,50904.1798,35.997795,51756.03917,37.267353,51730.11764,33.539192,58072.97329,34.684174,58575.30363,43.29625,59940.59153,34.123722,59151.43736,34.59914,60820.95242
