Country,2013_energy_consumption,2013_minimum,2014_energy_consumption,2014_minimum,2015_energy_consumption,2015_minimum,2016_energy_consumption,2016_minimum,2017_energy_consumption,2017_minimum,2018_energy_consumption,2018_minimum,2019_energy_consumption,2019_minimum,2020_energy_consumption,2020_minimum,2021_energy_consumption,2021_minimum
Malaysia,1086.7379,422900.6592,1097.6155,559745.0601,1114.5746,637622.1868,1172.3032,645926.0478,1188.4774,926858.9607,1209.5756,1090223.725,1240.7814,904695.6995,1196.4292,1007426.76,1246.6495,1094457.595
Maldives,6.577692,52.41288052,8.817265,53.64093827,6.5987864,81.26557969,7.0005317,88.06989606,7.2642756,135.1671571,8.336382,134.3249941,9.367838,148.121851,8.90442,142.0482238,9.214026,176.7851964
Mali,14.117615,-279269.077,15.7832155,-413331.5765,17.25754,-58827.95341,21.920076,-433256.0215,23.833948,323144.0221,24.793644,589576.5625,25.333214,181501.1275,24.256605,233660.7947,25.59745,920253.7561
Malta,26.145313,17569.73456,26.757277,18979.263,29.281233,17667.39433,32.549335,18762.11579,37.07361,19966.55813,38.70257,19122.27438,40.33273,20083.48829,37.139946,19515.01844,39.150482,19205.4801
Mauritania,9.61238,-109761.8956,11.508354,-206339.9555,11.6624155,12527.19686,10.890152,-231565.7666,16.321316,425829.8363,17.400463,560489.746,18.18961,239053.3719,17.476068,160789.2062,18.407001,828885.6069
Mauritius,22.076933,9338.738521,22.75332,9701.467862,23.596943,9873.997049,24.530706,10236.71428,26.913525,12356.71009,28.407331,12648.03279,29.555481,12919.64671,24.976973,12972.09471,25.62087,14220.77895
Mexico,2242.8577,2230251.974,2230.574,2187279.065,2205.4211,2110819.277,2253.398,1991023.891,2293.2642,3404048.957,2265.2773,3879403.904,2241.414,3444165.078,2041.9174,3003138.719,2175.8943,4713963.533
"Moldova, Republic of",44.53569,24954.0712,42.5979,20430.84751,38.07466,13389.56581,38.05067,17826.95489,38.688618,54316.31863,41.25079,62770.88962,41.943604,63309.93621,40.321323,48558.8641,49.003654,88975.7539
Mongolia,58.388344,649415.3859,57.184326,-753636.0125,56.871716,-593125.4278,59.658356,-643735.1376,65.15187,1295663.247,71.14611,1240772.026,78.48155,1468357.994,67.12849,1016921.315,75.01601,1813443.863
Montenegro,14.504869,28097.81312,12.961574,24602.27354,13.335471,22126.35191,13.316369,19385.47834,12.434129,38159.82779,13.799068,34517.20979,12.898393,39146.90535,11.286774,40424.80471,11.891775,49030.98774
Morocco,213.97916,506640.9384,217.02507,468290.4677,220.8588,508276.0575,223.32423,576475.7973,233.80072,941611.9326,241.81398,914634.9611,263.84097,850071.8714,242.53397,899774.3545,269.05447,1115261.135
Mozambique,70.08058,-284347.5702,77.782234,-373300.3663,82.61792,-388354.2407,84.95021,-327286.0412,85.286446,240741.3953,70.11783,278016.8943,74.10616,117992.9327,70.10905,332158.4408,71.891975,506967.3937
Myanmar,103.47361,-152238.7138,120.964806,-373332.4194,112.87985,29795.35131,129.81372,-301821.4089,167.52669,243825.7985,172.26006,285386.3089,169.58122,153153.68,170.05164,99174.13373,164.88298,590184.1939
Namibia,20.532598,-217740.2483,21.837519,-469772.1167,22.858814,-434348.3659,22.909967,-390082.4806,23.574385,238976.5153,23.27655,231280.4904,22.642365,146513.7523,22.303202,202950.0223,22.134443,490755.179
Nauru,0.28915864,98.4034859,0.31222987,156.9314076,0.33247906,164.5996003,0.3648832,181.6797205,0.28691924,183.4401823,0.33700904,201.8569385,0.27236113,177.1046377,0.2608771,218.8131667,0.27083334,234.8363095
Nepal,27.945059,12863.77044,30.193071,-21158.97198,27.033157,48370.65934,39.73368,-13816.87835,45.509377,113245.1962,49.9894,108876.7584,49.032063,101996.6237,49.24105,73368.20719,48.285286,176559.5999
Netherlands,1062.885,965246.3189,1016.3307,781091.0721,1026.0321,731062.2307,1044.014,806510.7933,1052.2062,744516.2428,1026.7698,771998.9305,1022.32947,820253.1128,990.14575,700009.5249,1014.6149,747877.7064
New Zealand,239.56792,134291.8853,250.67665,-23498.3925,252.19344,-9349.808056,255.68533,29324.81235,259.8468,280311.0142,258.47,220434.9639,263.68475,210695.1853,239.25703,256513.8623,235.5494,303023.0619
Nicaragua,24.426323,-11841.93814,25.913784,-26638.94012,28.355658,-7218.991982,28.442665,-33894.03174,28.35997,61985.77193,28.144852,80203.62072,28.157967,54003.68599,28.629322,34508.64064,29.219433,106452.8694
Niger,10.34247,-265166.0962,9.81472,-601489.9448,10.3649645,-37280.43858,9.681235,-425528.4569,9.415173,287272.5607,10.389251,500238.2643,10.982877,232614.5576,10.765667,24014.05914,10.34748,812934.2514
Nigeria,444.87653,-47981.5366,485.73407,-243698.7374,459.22278,187323.1604,469.5742,-142786.559,456.4197,495343.6295,488.3947,681402.0891,504.77087,419464.5468,509.3741,497400.4532,543.7368,989690.9625
Norway,524.0741,1686059.236,542.8855,1306134.97,550.1978,1652533.497,558.5242,1774695.803,561.08185,2114736.978,552.5391,1773335.804,516.76984,1583229.707,557.34674,1825053.876,568.4789,1993097.562
Oman,317.48486,382269.807,315.79758,291299.0738,337.249,556532.8384,338.48645,408041.3151,353.37772,679376.6628,375.74258,686115.0434,373.15045,644268.8138,360.4911,526426.1569,393.38873,705479.3721
Pakistan,751.74243,490816.0167,775.93536,324394.8478,815.85895,517754.9087,542.20074,367979.0526,940.99817,1157029.776,971.03046,1140025.573,982.5163,1057054.798,977.2168,1012411.265,1083.7913,1460214.486
Panama,100.602745,21376.19327,102.87565,15184.19835,112.3791,36812.27912,118.755165,18233.13858,127.71585,79781.20473,130.1864,94909.19957,117.984116,79559.53186,118.70061,81745.73578,117.77596,111089.8841
Papua New Guinea,22.518286,-120481.7538,23.83847,-350776.4033,27.527002,-140354.6208,29.219704,-220910.1093,28.238922,122612.6607,29.388498,138568.4717,30.149662,67480.85469,21.09696,117068.3938,21.12761,236122.5603
Paraguay,141.21852,93874.602,133.65765,71005.26361,137.09798,51183.18294,154.90407,68525.88197,148.94304,396189.2854,149.09532,390300.4823,129.97318,290173.9757,122.400375,461808.0615,105.80124,572246.2769
Peru,262.58148,-289097.7479,268.82904,-571899.9857,281.66946,-406736.1406,298.93784,-381073.3261,303.5903,506094.2431,318.42453,660936.5168,326.58514,415346.0141,287.86343,676241.4279,327.408,967037.5005
Philippines,384.94003,54560.62087,404.6579,-61371.97499,443.82196,100095.1722,484.6147,13948.29887,531.86365,220822.2077,549.69855,290452.7718,566.12146,272610.7375,513.7529,255416.8857,545.51025,422741.284
Poland,1131.3181,1654928.681,1089.3545,1373615.054,1103.0131,1281575.644,1150.2451,1445693.226,1208.289,1788978.58,1222.0825,1925294.294,1187.2677,1973900.384,1139.2343,1711382.41,1224.7583,2251012.969
Portugal,289.6614,694195.185,291.7736,606794.6526,289.52225,714181.33,309.8667,699465.1116,301.87787,799483.4171,307.7067,755456.8671,293.05664,672865.4682,265.24768,704200.9123,266.48996,725011.7638
Qatar,482.34198,376132.8277,521.48706,413440.5219,593.3197,442628.2845,582.5708,462263.1736,564.08673,511058.5368,558.8765,583371.1373,583.49774,615359.0498,511.53665,655892.5692,541.8489,703486.4997
Republic of Korea,3225.866,1160359.102,3252.673,1021953.984,3309.5176,1023283.834,3407.431,1061019.19,3445.8071,1221587.314,3503.0505,1355254.692,3462.6758,1384280.122,3346.965,1276915.264,3506.508,1398851.492
Romania,369.5765,467726.4506,379.1164,384691.4384,381.13568,329405.3596,381.0851,386587.6748,387.93585,641977.6676,392.05106,648460.6788,383.81754,687135.8598,369.48853,596093.386,390.003,844879.5585
Russian Federation,8032.5254,47358688.75,8057.7617,34816363.29,7930.555,48689086.67,8086.0635,38465674.76,8135.742,68258105.52,8432.208,53957742.77,8370.03,54094015.57,8078.97,47247169.18,8335.356,61109226.62
