Country,2013_energy_consumption,2013_maximum,2014_energy_consumption,2014_maximum,2015_energy_consumption,2015_maximum,2016_energy_consumption,2016_maximum,2017_energy_consumption,2017_maximum,2018_energy_consumption,2018_maximum,2019_energy_consumption,2019_maximum,2020_energy_consumption,2020_maximum,2021_energy_consumption,2021_maximum
Paraguay,141.21852,1056894.505,133.65765,940996.3204,137.09798,1164477.714,154.90407,975230.0391,148.94304,1296643.326,149.09532,1140232.717,129.97318,1155812.675,122.400375,1578961.744,105.80124,1564096.911
Peru,262.58148,1619824.359,268.82904,1751346.093,281.66946,1846976.303,298.93784,1590127.663,303.5903,2600161.683,318.42453,2697471.052,326.58514,2402622.67,287.86343,3003567.518,327.408,2999576.816
Philippines,384.94003,534952.9328,404.6579,585926.6315,443.82196,588994.9747,484.6147,618895.8416,531.86365,883020.3006,549.69855,851189.5446,566.12146,808191.4886,513.7529,930321.0115,545.51025,922060.2279
Poland,1131.3181,5529280.782,1089.3545,5220008.074,1103.0131,4916820.881,1150.2451,5616513.77,1208.289,6197179.055,1222.0825,5882908.933,1187.2677,6023034.407,1139.2343,5750153.32,1224.7583,9840349.537
Portugal,289.6614,1496743.939,291.7736,1432079.991,289.52225,1445367.339,309.8667,1610941.797,301.87787,1488513.938,307.7067,1430223.958,293.05664,1414783.021,265.24768,1363885.95,266.48996,1351739.725
Qatar,482.34198,962470.1584,521.48706,1059895.818,593.3197,1059613.148,582.5708,1071890.588,564.08673,1150899.299,558.8765,1221710.194,583.49774,1230095.697,511.53665,1333431.291,541.8489,1361188.063
Republic of Korea,3225.866,2512732.624,3252.673,2295303.318,3309.5176,2188353.405,3407.431,2253824.343,3445.8071,2640308.903,3503.0505,2634155.782,3462.6758,2477897.931,3346.965,2662296.661,3506.508,2998297.699
Romania,369.5765,1521717.545,379.1164,1793390.05,381.13568,1459188.293,381.0851,1498775.575,387.93585,1709296.955,392.05106,1795839.526,383.81754,2020088.439,369.48853,1886487.898,390.003,2421424.895
Russian Federation,8032.5254,140648244.8,8057.7617,224210790.9,7930.555,239325404.4,8086.0635,222394421.9,8135.742,233151575,8432.208,229557862.7,8370.03,213467762.1,8078.97,229014907.6,8335.356,262713405.5
Rwanda,4.3376565,50534.01542,4.586371,41825.20952,5.078819,54057.54564,5.124537,44216.9899,5.6115375,73995.61715,6.1547008,53249.36992,6.7457433,53553.86973,6.532406,66778.62873,6.3453274,72558.72708
