Country,2013_energy_consumption,2013_median,2014_energy_consumption,2014_median,2015_energy_consumption,2015_median,2016_energy_consumption,2016_median,2017_energy_consumption,2017_median,2018_energy_consumption,2018_median,2019_energy_consumption,2019_median,2020_energy_consumption,2020_median,2021_energy_consumption,2021_median
Romania,369.5765,836480.4615,379.1164,846175.1162,381.13568,732100.1406,381.0851,754379.5704,387.93585,1024070.813,392.05106,1034325.1,383.81754,1052161.936,369.48853,1138961.631,390.003,1283778.013
Russian Federation,8032.5254,82649260.35,8057.7617,105215837.4,7930.555,108188050.2,8086.0635,95508440.03,8135.742,118790686.5,8432.208,99035616.06,8370.03,106744701.4,8078.97,98822290.46,8335.356,116016108.9
Rwanda,4.3376565,13461.72933,4.586371,14338.96006,5.078819,16638.70649,5.124537,11539.70789,5.6115375,32948.79872,6.1547008,34114.98259,6.7457433,31836.76242,6.532406,41785.49897,6.3453274,49673.64668
Saint Kitts and Nevis,1.0313666,1793.062961,1.0442275,1925.824307,1.0690248,1990.210255,1.0972828,1921.659575,1.096758,2209.296632,1.109576,2413.674025,1.1092261,2441.583498,0.93629295,2283.311423,0.9955214,2289.133201
Saint Lucia,1.8109919,5050.51527,1.8287804,4887.33558,1.8412378,4951.487633,1.8611505,4657.011342,2.017484,5291.03723,1.8545495,5079.434926,2.7253225,5207.096823,2.296203,5304.353401,2.4433672,5233.587138
Saint Vincent and the Grenadines,0.9423633,959.869247,0.97102666,881.1657934,0.9954189,938.406151,0.99340993,861.6956267,1.1439728,1187.327185,1.0528235,1215.725514,0.9069623,1190.937199,0.81501937,1238.327341,0.8603289,1183.009111
Samoa,1.2030401,713.3340318,1.2231327,478.7675438,1.4193091,420.6676159,1.5122826,198.1657633,1.5256896,2885.1863,1.5136653,2806.061529,1.631313,2151.062295,1.5522943,3345.632384,1.5975583,3732.811398
Sao Tome and Principe,0.61556506,1219.481156,0.6155105,1096.871749,0.6436711,1569.694078,0.66496056,1352.663825,0.676261,2368.781632,0.6657166,2373.206796,0.73365,2083.053566,0.70130306,2446.131951,0.7385749,2507.799369
Saudi Arabia,2731.2205,6422476.245,2931.7173,6844181.738,3056.6255,7540052.277,3179.844,7372299.944,3181.8193,9625897.608,3101.6775,9597667.17,2967.3794,9411055.838,2886.4114,9910086.092,2981.9167,10153201.57
Senegal,28.785759,95187.87793,31.947577,84388.97053,37.051647,101918.2738,35.844208,61999.72387,38.039948,232700.4178,39.58574,242432.8156,44.056408,198569.8231,41.623035,285724.9892,42.279724,321006.5655
